MSRS,MI,SD,VIF,SSIM,Qabf,PSNR
mean,5.516613828857698,46.85269015043402,1.023699349889441,0.6991256999969483,0.6835227110476185,63.68437350362258
std,1.026598160237631,15.20859038817467,0.08684207694905309,0.06631188088796366,0.05627272488656147,4.485031441963675
00024N.png,4.296615304774919,27.12373460950145,1.085483313251649,0.801592230796814,0.6363953901050873,69.64207766252844
00055D.png,6.662883729950098,72.13510472255054,1.014344653296897,0.619850218296051,0.7882711594501548,59.40141711566654
00095D.png,6.754613778485021,70.48527624026643,1.014211439442614,0.581909716129303,0.7677546461524374,57.1653627485173
00103D.png,6.608108533842513,63.66425279019093,0.9123071405595125,0.6255190968513489,0.693881713914564,59.59500164680243
00169D.png,6.318317330642525,55.38488060833932,0.9844580067022244,0.7216037511825562,0.7070241663211602,62.44768447916887
00245D.png,6.813782139557622,51.64741240694768,1.033994886634977,0.6306077837944031,0.8231400735019075,59.70385508669938
00337D.png,5.993563697673364,51.89468702735056,0.8660132374498448,0.7055792808532715,0.6213481494426936,61.46801112350178
00500D.png,6.363975375419072,54.53826256247382,0.9674245221878414,0.6010518670082092,0.6956667432960991,58.22412102340641
00537D.png,6.364842055316178,54.47978600667713,0.997427556634969,0.637947678565979,0.6815065936906931,59.37687833980526
00633D.png,6.538036786707181,65.36623427529945,1.00514076260935,0.6325703859329224,0.7061451749405112,58.3936753081398
00676D.png,6.518360697409998,51.49262083056173,0.9835825507639685,0.6153843998908997,0.7060665576987419,59.99074752478024
00832N.png,5.603498347380507,45.79089474629937,1.074631065963737,0.7329646944999695,0.7057657279815819,63.95210276926319
00838N.png,5.669556274211997,48.37046705721718,1.063214284622067,0.7318904995918274,0.6108569862564606,64.18260465768702
00858N.png,3.747019549649476,21.46902929221533,1.056265958245311,0.7659425139427185,0.6711915996919677,71.16420522328278
00878N.png,3.675742783302669,24.03271641603032,1.017146128819423,0.7878918647766113,0.6708263261728155,71.29214486143711
00918N.png,5.144129528211487,46.06819220821817,0.9301003363694582,0.7156950235366821,0.5773670729105017,64.6977770638393
00931N.png,5.730532667662541,52.38686023231398,0.9503856274624578,0.7276922464370728,0.5638446839404294,63.27085570655907
01198N.png,3.931474928222494,20.48672143629462,1.229281115337165,0.7788565158843994,0.7028535017548522,71.4793648347138
01290N.png,5.058406291839486,38.80057989257377,1.098878695848933,0.7410225868225098,0.7069451068656514,66.07100505464204
01302N.png,4.48096301243296,29.05450069122969,1.132585910687167,0.7656145095825195,0.6714418340728178,68.44662518455765
01364N.png,4.245011715887205,23.99723291340066,1.097394694727252,0.7662469148635864,0.6310425400935771,70.13456483180853
01372N.png,4.11867193345064,29.16623779446594,1.220224159262357,0.8004175424575806,0.6618755164802412,68.96965897987357
01405D.png,5.54209258560372,62.72493523312718,0.9059930957292318,0.6601554155349731,0.6839838615990828,61.41810807242895
01599D.png,5.004764876011802,59.41111708538507,0.9224713019069641,0.6929269433021545,0.690462785584983,61.80668030371734
01603D.png,6.730381797796982,51.34551668192008,1.029523302720657,0.6372088193893433,0.7124098642714534,59.81480798773764
