TNO,MI,SD,VIF,SSIM,Qabf,PSNR
mean,5.055444302918755,40.24516561001598,0.9049457768483955,0.7002945113182067,0.5823457819758476,61.55775284614077
std,0.7049304878129324,12.3821199472984,0.1188797285353023,0.06569299158118086,0.06579950298091596,3.29033805824518
01.png,4.54035589277934,45.02864314748673,0.8342156117240327,0.733941376209259,0.5374263440666449,61.03127038135496
02.png,5.728741986424559,49.22126500041157,0.9097484815521969,0.6498534679412842,0.6211580005427945,59.13695701771071
03.png,5.204244197481959,40.3020030117519,0.9051551562006321,0.7476187944412231,0.5730190521209116,62.02704344228974
04.png,4.01740245508433,27.8179223802849,0.9432725536327204,0.7459961175918579,0.5380977992085479,64.82994481693015
05.png,3.949651995859655,30.77691143285073,0.714569973602388,0.6584072113037109,0.5205143420560994,64.7649631136498
06.png,6.116467827068947,49.1051068977301,0.9189261289473292,0.5368778109550476,0.4624586959839144,56.20988482094195
07.png,5.786713753472428,43.28098206144502,1.153305435980529,0.8042540550231934,0.712846707851872,68.02658292039995
08.png,5.707407494230619,51.39987949611962,0.9053332199309554,0.831264853477478,0.588707574933359,62.71387376524569
09.png,3.658968394592478,16.50657544355697,0.8174159933006722,0.754809558391571,0.5604572015356514,68.1603103492971
10.png,5.30216183917589,44.79671444425361,1.086509689841342,0.7544205188751221,0.6203374124473731,65.77403709774845
11.png,5.258894193279756,51.78006092771057,0.9280830282485664,0.7294797897338867,0.5751022299958268,61.47306386029733
12.png,5.611251847616495,38.79521383479482,1.054363838814507,0.6396739482879639,0.6595749970129635,56.15565659994951
13.png,5.256744637904776,38.99186056043181,0.9543136214754055,0.6777803897857666,0.630793550040805,57.0769583434253
14.png,4.397519456850604,37.0652675251773,0.7616051418810201,0.6424351930618286,0.5948652520966592,63.73714971065599
15.png,5.71625957953175,37.84934027350787,1.077552305748194,0.6198021173477173,0.6743131884055528,55.79948269205676
16.png,5.213897964215473,22.39741664570791,0.8534245061739097,0.7734137177467346,0.5659601543662265,61.00604966871884
17.png,3.441311634716872,24.54998252691352,0.668558516946867,0.7079311609268188,0.3964461752679236,61.41461608643993
18.png,5.549034696524442,69.6152119494513,1.009952648500976,0.692177414894104,0.6397392283694111,60.38248383051317
19.png,4.345029889626552,31.1814020754511,0.7452007222109156,0.7013981938362122,0.5244851858570252,64.90989787868675
20.png,5.416747577864116,18.35620851228548,0.9912773389408167,0.7624480724334717,0.5701559946624851,62.36810162193027
21.png,4.875219514006943,41.04962556783264,0.8493318766806054,0.7513996958732605,0.5402836677798453,62.18281997061901
22.png,4.619512052978543,42.98853711068413,0.7737621509775077,0.6848630905151367,0.554230727483063,60.72204713374737
23.png,5.666610417429508,58.4221248836939,0.9439499539529519,0.6594622135162354,0.6139176000624693,58.82755366832365
24.png,5.592489458453493,58.81172459771617,0.8067661006835675,0.5967031121253967,0.6249981752746615,58.17640193470574
25.png,5.413468815799368,36.03915994314964,1.017050425261278,0.6509509086608887,0.6587552919741048,62.03667042788112
